r/r25,r,sigma_H2
0.019784173,0.224669069,697.3940871
0.052158273,0.592309348,248.1890454
0.086330935,0.980374098,86.22876657
0.122302158,1.388863306,47.29144767
0.158273381,1.797352515,37.19073682
0.192446043,2.185417264,33.78280078
0.226618705,2.573482014,29.24737924
0.262589928,2.981971222,23.55992551
0.29676259,3.370035972,18.08803145
0.332733813,3.77852518,17.65861027
0.366906475,4.16658993,21.92146453
0.402877698,4.575079138,18.52789526
0.43705036,4.963143888,11.45857033
0.471223022,5.351208638,9.230333469
0.505395683,5.739273376,8.384521078
0.543165468,6.168187055,6.754064712
0.575539568,6.535827334,5.185404123
0.611510791,6.944316543,4.382673627
0.647482014,7.352805751,4.177048955
0.681654676,7.740870501,3.530417661
