r/r25,r,sigma_HI
0.017985612,0.20424461,6.437179984
0.052158273,0.592309348,6.593718994
0.088129496,1.000798557,5.572973225
0.122302158,1.388863306,4.942117236
0.158273381,1.797352515,4.942117236
0.192446043,2.185417264,6.284357307
0.228417266,2.593906473,5.847315423
0.262589928,2.981971222,5.847315423
0.29676259,3.370035972,6.135162736
0.332733813,3.77852518,6.593718994
0.366906475,4.16658993,8.384521078
0.402877698,4.575079138,8.185467307
0.43705036,4.963143888,7.258879136
0.471223022,5.351208638,6.918309709
0.507194245,5.759697846,6.754064712
0.541366906,6.147762585,6.135162736
0.577338129,6.556251793,5.572973225
0.611510791,6.944316543,5.989510138
0.647482014,7.352805751,6.437179984
0.681654676,7.740870501,6.135162736
0.717625899,8.149359709,5.572973225
0.751798561,8.537424459,5.440667357
0.785971223,8.925489208,5.185404123
0.821942446,9.333978417,4.278626216
0.856115108,9.722043166,3.794289245
0.89028777,10.11010792,4.278626216
0.926258993,10.51859712,4.278626216
0.962230216,10.92708633,4.382673627
0.996402878,11.31515108,3.530417661
