r/r25,r,sigma_gas
0.019784173,0.224669069,697.3940871
0.053956835,0.612733818,248.1890454
0.088129496,1.000798557,90.47357242
0.122302158,1.388863306,52.06210685
0.158273381,1.797352515,41.93809466
0.192446043,2.185417264,39.97045853
0.228417266,2.593906473,35.44583548
0.262589928,2.981971222,29.24737924
0.29676259,3.370035972,24.13285456
0.332733813,3.77852518,23.55992551
0.366906475,4.16658993,29.24737924
0.402877698,4.575079138,25.32084886
0.43705036,4.963143888,17.65861027
0.473021583,5.371633097,14.57062768
0.507194245,5.759697846,12.9212446
0.541366906,6.147762585,10.92096134
0.577338129,6.556251793,9.011199583
0.611510791,6.944316543,9.011199583
0.647482014,7.352805751,9.011199583
0.683453237,7.761294959,8.384521078
0.715827338,8.12893525,6.437179984
0.751798561,8.537424459,5.185404123
0.785971223,8.925489208,4.489251258
0.821942446,9.333978417,3.981071706
0.856115108,9.722043166,3.364778821
0.892086331,10.13053237,3.981071706
0.926258993,10.51859712,3.794289245
0.962230216,10.92708633,3.616270175
0.996402878,11.31515108,3.056450673
