r/r25,r,sigma_from plot,sigma_sfr
0.017985612,0.20424461,589.433456,0.589433456
0.052158273,0.592309348,76.46774106,0.076467741
0.088129496,1.000798557,26.56732485,0.026567325
0.122302158,1.388863306,19.91271302,0.019912713
0.158273381,1.797352515,19.91271302,0.019912713
0.194244604,2.205841723,18.08803145,0.018088031
0.228417266,2.593906473,14.92495545,0.014924955
0.262589928,2.981971222,12.9212446,0.012921245
0.29676259,3.370035972,9.230333469,0.009230333
0.332733813,3.77852518,9.230333469,0.009230333
0.366906475,4.16658993,12.31501039,0.01231501
0.402877698,4.575079138,13.55732206,0.013557322
0.43705036,4.963143888,7.991139197,0.007991139
0.473021583,5.371633097,7.616213861,0.007616214
0.507194245,5.759697846,5.7084965,0.005708497
0.541366906,6.147762585,4.489251258,0.004489251
0.577338129,6.556251793,3.284896868,0.003284897
0.611510791,6.944316543,5.062299388,0.005062299
0.647482014,7.352805751,4.077883202,0.004077883
0.681654676,7.740870501,5.311502513,0.005311503
0.717625899,8.149359709,11.18653671,0.011186537
0.751798561,8.537424459,3.981071706,0.003981072
0.785971223,8.925489208,1.012085939,0.001012086
0.821942446,9.333978417,0.55507009,0.00055507
0.856115108,9.722043166,0.416035543,0.000416036
0.892086331,10.13053237,0.897518643,0.000897519
0.926258993,10.51859712,0.529027515,0.000529028
0.960431655,10.90666187,0.436515832,0.000436516
0.996402878,11.31515108,0.406158599,0.000406159
