HIIregions,r/R25,r,t_NS,temp,error,quant_error
34,0.16,2.1248,0.66,6600,0.01,100
8a,0.17,2.2576,0.69,6900,0.01,100
8b,0.17,2.2576,0.72,7200,0.01,100
9,0.17,2.2576,0.68,6800,0.01,100
33,0.19,2.5232,0.75,7500,0.02,200
10,0.21,2.7888,0.58,5800,0.02,200
6,0.22,2.9216,0.72,7200,0.01,100
13,0.23,3.0544,0.71,7100,0.01,100
36,0.23,3.0544,0.63,6300,0.01,100
11,0.25,3.32,0.61,6100,0.01,100
25,0.25,3.32,0.68,6800,0.01,100
14,0.29,3.8512,0.66,6600,0.01,100
15a,0.3,3.984,0.75,7500,0.01,100
15b,0.3,3.984,0.67,6700,0.01,100
18,0.31,4.1168,0.72,7200,0.01,100
17,0.32,4.2496,0.67,6700,0.01,100
39,0.32,4.2496,0.67,6700,0.01,100
16,0.33,4.3824,0.67,6700,0.01,100
20,0.36,4.7808,0.79,7900,0.01,100
27,0.36,4.7808,0.78,7800,0.01,100
26,0.37,4.9136,0.8,8000,0.01,100
19,0.38,5.0464,0.73,7300,0.01,100
28,0.38,5.0464,0.87,8700,0.02,200
21,0.39,5.1792,0.71,7100,0.01,100
1,0.4,5.312,0.64,6400,0.01,100
38,0.4,5.312,0.67,6700,0.01,100
30,0.45,5.976,0.88,8800,0.01,100
22,0.48,6.3744,0.78,7800,0.01,100
23,0.48,6.3744,0.79,7900,0.01,100
32,0.48,6.3744,0.85,8500,0.01,100
2,0.49,6.5072,0.81,8100,0.01,100
31,0.49,6.5072,0.84,8400,0.01,100
