r,omega
0.09,2240.888889
0.19,1225.105263
0.3,768.6666667
0.42,526.7142857
0.56,373.0178571
0.7,281.5857143
0.86,220.627907
1.04,178.6442308
1.23,148.4552846
1.45,124.5448276
1.68,107.0595238
1.94,92.85051546
2.23,80.95067265
2.54,71.38976378
2.89,63.35294118
3.27,57.44342508
3.69,53.22764228
4.15,49.14939759
4.65,44.43010753
5.21,40.31669866
5.82,37.56701031
6.49,35.25731895
7.23,32.0857538
8.05,28.42608696
8.94,24.91387025
9.93,21.8388721
11.01,19.37148047
12.2,17.33032787
13.51,15.68245744
14.95,13.82742475
16.54,12.36638452
