r,q
0.09,0.407965459
0.19,1.08726215
0.3,1.18509725
0.42,1.213418769
0.56,1.314299392
0.7,1.262764878
0.86,1.180183427
1.04,1.135573124
1.23,1.093246428
1.45,1.070990606
1.68,1.015007439
1.94,0.991841975
2.23,0.985321774
2.54,0.948659855
2.89,0.871502042
3.27,0.720485577
3.69,0.653389175
4.15,0.77378384
4.65,0.872093703
5.21,0.758031145
5.82,0.612355546
6.49,0.715577088
7.23,0.986734894
8.05,1.187725058
8.94,1.25730401
9.93,1.217434945
11.01,1.12884674
12.2,1.038781985
13.51,1.097328512
14.95,1.183263131
