r,sigma_H2
0.277147488,397.0426943
0.831442464,282.2158462
1.416531605,157.6429011
1.97082658,81.26129161
2.555915721,48.2102668
3.141004862,34.26760253
3.726094003,29.18208238
4.249594814,27.47599878
4.834683955,27.47599878
5.419773096,25.86965862
5.974068071,23.87299883
6.559157212,21.59247004
7.113452188,20.74246974
7.698541329,20.33010094
8.252836305,19.14153422
8.80713128,16.96880124
9.423014587,14.16324575
10.00810373,11.58653261
10.5623987,9.105469114
11.11669368,7.013426219
11.70178282,5.623413252
12.2560778,4.693660011
12.84116694,3.763408794
13.42625608,3.017526986
14.01134522,2.371373706
14.56564019,1.685559882
15.15072934,1.150923643
