r,sigma_HI
0.277147488,4.331396158
0.862236629,4.693660011
1.416531605,4.600348126
2.001620746,4.331396158
2.586709887,4.078168035
3.141004862,3.917628549
3.726094003,4.245286227
4.280388979,4.600348126
4.834683955,5.086222431
5.419773096,5.402044278
6.004862237,5.623413252
6.589951378,5.972591209
7.144246353,6.343450882
7.698541329,6.737338565
8.28363047,6.873996431
8.837925446,6.873996431
9.423014587,7.013426219
10.00810373,7.013426219
10.5623987,6.873996431
11.70178282,6.737338565
12.28687196,6.737338565
12.84116694,6.472119265
13.45705024,6.343450882
14.01134522,6.093737202
14.56564019,5.853853648
15.15072934,5.853853648
15.70502431,5.853853648
16.29011345,5.737476639
16.84440843,5.511617492
17.42949757,4.985106245
17.98379254,4.600348126
18.59967585,4.160888197
19.15397083,3.917628549
