r,sigma_sfr_10^-3,sigma_sfr
0.277597403,217.3748535,0.217374854
0.678571429,170.8276394,0.170827639
1.017857143,123.8862924,0.123886292
1.26461039,89.84385372,0.089843854
1.511363636,66.47746019,0.06647746
1.758116883,48.2102668,0.048210267
2.066558442,34.96267484,0.034962675
2.375,25.86965862,0.025869659
2.806818182,21.16320288,0.021163203
3.331168831,18.02245515,0.018022455
3.886363636,18.76099268,0.018760993
4.410714286,19.52979454,0.019529795
4.996753247,19.52979454,0.019529795
5.551948052,19.52979454,0.019529795
6.076298701,19.52979454,0.019529795
6.662337662,19.9259302,0.01992593
7.186688312,20.74246974,0.02074247
7.772727273,21.59247004,0.02159247
8.297077922,22.93322417,0.022933224
8.852272727,22.93322417,0.022933224
9.407467532,21.16320288,0.021163203
9.900974026,18.02245515,0.018022455
10.42532468,15.04269262,0.015042693
10.88798701,12.06133413,0.012061334
11.38149351,10.27135896,0.010271359
11.875,8.74702696,0.008747027
12.39935065,7.754162244,0.007754162
12.9237013,7.448915081,0.007448915
13.4788961,7.448915081,0.007448915
14.06493506,8.071918052,0.008071918
14.62012987,7.754162244,0.007754162
15.11363636,6.343450882,0.006343451
15.5762987,4.985106245,0.004985106
15.91558442,4.078168035,0.004078168
16.31655844,3.07873347,0.003078733
16.77922078,2.468549615,0.00246855
17.21103896,2.060409238,0.002060409
17.73538961,1.719749201,0.001719749
18.25974026,1.435412567,0.001435413
18.75324675,1.222388632,0.001222389
19.21590909,1.040978741,0.001040979
