r,smdf
9.00E-02,2.28E+04
1.90E-01,9.99E+03
3.00E-01,5.16E+03
4.20E-01,3.14E+03
5.60E-01,2.11E+03
7.00E-01,1.65E+03
8.60E-01,1.39E+03
1.04E+00,1.19E+03
1.23E+00,1.05E+03
1.45E+00,9.29E+02
1.68E+00,8.39E+02
1.94E+00,7.59E+02
2.23E+00,6.91E+02
2.54E+00,6.36E+02
2.89E+00,5.93E+02
3.27E+00,5.57E+02
3.69E+00,5.14E+02
4.15E+00,4.60E+02
4.65E+00,4.11E+02
5.21E+00,3.76E+02
5.82E+00,3.42E+02
6.49E+00,2.96E+02
7.23E+00,2.43E+02
8.05E+00,1.99E+02
8.94E+00,1.70E+02
9.93E+00,1.50E+02
1.10E+01,1.37E+02
1.22E+01,1.25E+02
1.35E+01,1.11E+02
