r,vel disp
0.165258216,23.31325301
0.20657277,18
0.247887324,16.3373494
0.289201878,15.25301205
0.34084507,14.63855422
0.376995305,14.60240964
0.418309859,15.03614458
0.464788732,16.04819277
0.516431925,15.65060241
0.55258216,15.28915663
0.599061033,15.25301205
0.61971831,14.56626506
0.655868545,14.63855422
0.661032864,14.1686747
0.697183099,14.31325301
0.717840376,13.87951807
0.784976526,13.80722892
0.815962441,13.22891566
0.862441315,12.57831325
0.908920188,11.71084337
0.945070423,11.42168675
0.991549296,11.02409639
1.03286385,10.59036145
1.074178404,10.08433735
1.115492958,9.614457831
1.151643192,9.21686747
1.198122066,9.036144578
1.244600939,9.036144578
1.291079812,9.108433735
1.332394366,8.927710843
1.37370892,8.313253012
1.425352113,7.879518072
1.466666667,7.879518072
1.51314554,7.807228916
1.564788732,7.734939759
1.590610329,7.373493976
1.631924883,7.084337349
1.673239437,7.012048193
1.71971831,6.831325301
1.755868545,6.686746988
1.812676056,6.469879518
1.85399061,6.795180723
1.900469484,6.614457831
1.936619718,6.361445783
1.962441315,6.614457831
2.008920188,6.903614458
2.070892019,7.084337349
2.127699531,6.86746988
2.210328638,6.975903614
2.277464789,6.722891566
2.329107981,6.65060241
2.380751174,6.469879518
2.411737089,6.795180723
2.447887324,6.975903614
2.47370892,7.120481928
2.509859155,7.301204819
2.525352113,6.975903614
2.535680751,6.759036145
2.597652582,6.86746988
2.628638498,6.253012048
2.675117371,6.108433735
2.943661972,5.927710843
2.726760563,7.337349398
2.778403756,7.409638554
2.81971831,8.34939759
2.861032864,9.325301205
2.902347418,11.09638554
