r/r25,r,sigma_from_plot,sigma_sfr_fuv
0.017985612,0.20424461,697.3940871,0.697394087
0.053956835,0.612733818,78.32727964,0.07832728
0.088129496,1.000798557,26.56732485,0.026567325
0.122302158,1.388863306,19.91271302,0.019912713
0.158273381,1.797352515,18.08803145,0.018088031
0.192446043,2.185417264,16.83011008,0.01683011
0.226618705,2.573482014,13.88700832,0.013887008
0.262589928,2.981971222,12.31501039,0.01231501
0.29676259,3.370035972,9.230333469,0.009230333
0.332733813,3.77852518,9.230333469,0.009230333
0.368705036,4.187014389,12.02264435,0.012022644
0.402877698,4.575079138,12.61448618,0.012614486
0.43705036,4.963143888,8.185467307,0.008185467
0.473021583,5.371633097,7.435400184,0.0074354
0.507194245,5.759697846,5.185404123,0.005185404
0.541366906,6.147762585,3.981071706,0.003981072
0.577338129,6.556251793,3.130777283,0.003130777
0.611510791,6.944316543,3.981071706,0.003981072
0.647482014,7.352805751,3.704210446,0.00370421
0.681654676,7.740870501,3.794289245,0.003794289
0.715827338,8.12893525,5.440667357,0.005440667
0.751798561,8.537424459,2.583294463,0.002583294
0.785971223,8.925489208,1.486530804,0.001486531
0.821942446,9.333978417,1.350314038,0.001350314
0.856115108,9.722043166,1.197459599,0.00119746
0.892086331,10.13053237,1.522680183,0.00152268
0.926258993,10.51859712,1.141277629,0.001141278
0.962230216,10.92708633,1.141277629,0.001141278
0.996402878,11.31515108,1.087731584,0.001087732
