r,smdf
0.034883721,2035.168337
0.069767442,1846.893366
0.104651163,1676.035855
0.139534884,1520.984503
0.139534884,1380.27707
0.139534884,1252.586588
0.174418605,1158.993351
0.174418605,1072.393398
0.174418605,992.2641909
0.174418605,918.1222364
0.209302326,849.5201668
0.209302326,786.0440421
0.209302326,727.3108517
0.244186047,672.9662038
0.244186047,622.6821866
0.279069767,576.1553899
0.279069767,533.1050741
0.279069767,493.2714769
0.313953488,447.6385573
0.313953488,406.2271738
0.348837209,368.6467889
0.348837209,341.1015104
0.38372093,309.5459502
0.418604651,286.4166848
0.523255814,265.0156376
0.593023256,245.2136761
0.627906977,226.8913166
0.697674419,205.9014283
0.76744186,198.0596252
0.872093023,186.8533305
0.906976744,176.2810926
1.011627907,166.3070362
1.11627907,156.897316
1.220930233,148.0200017
1.325581395,139.6449694
1.430232558,131.7437998
1.534883721,124.2896817
1.674418605,119.5560807
1.779069767,115.0027599
1.918604651,110.6228535
2.058139535,106.4097567
2.197674419,104.3637671
2.337209302,102.3571167
2.441860465,98.45882246
2.581395349,96.56570916
2.686046512,92.88798199
2.825581395,91.10198181
2.965116279,89.35032189
3.104651163,85.94739439
3.209302326,85.94739439
3.313953488,84.2948441
3.418604651,82.67406817
3.558139535,81.08445564
3.697674419,79.52540732
3.837209302,77.99633555
3.976744186,76.49666395
4.11627907,75.02582722
4.255813953,73.58327096
4.395348837,72.16845139
4.534883721,69.41989937
4.639534884,68.08513087
4.779069767,66.77602658
4.88372093,65.49209304
4.988372093,62.99781166
5.093023256,61.78652361
5.197674419,60.59852556
5.302325581,58.29061682
5.406976744,57.16983618
5.511627907,56.07060531
5.61627907,53.93514344
5.720930233,52.89810751
5.825581395,50.88347095
5.965116279,49.90511093
6.069767442,48.00446334
6.174418605,47.08145933
6.279069767,46.17620234
6.38372093,45.28835115
6.488372093,44.41757109
6.593023256,43.56353391
6.697674419,41.90440673
6.802325581,41.09869133
6.906976744,40.30846779
7.011627907,39.53343825
7.11627907,38.77331055
7.220930233,37.29662013
7.325581395,36.57950077
7.430232558,35.8761698
7.534883721,35.1863621
7.674418605,34.50981764
7.813953488,33.84628143
7.918604651,32.55723804
8.058139535,31.31728816
8.197674419,31.31728816
8.302325581,30.71513618
8.441860465,29.54534318
8.581395349,28.9772612
8.720930233,28.42010201
8.895348837,27.3377159
9.034883721,26.29655272
9.174418605,25.79093675
9.348837209,24.80868301
9.418604651,24.33167499
9.558139535,23.86383863
9.697674419,23.40499757
9.837209302,22.95497886
9.976744186,22.51361287
10.11627907,22.08073323
10.25581395,21.65617676
10.43023256,21.23978344
10.60465116,21.23978344
10.74418605,20.8313963
10.88372093,20.43086141
11.02325581,20.0380278
11.1627907,20.0380278
11.30232558,19.65274737
11.44186047,19.65274737
11.58139535,19.65274737
11.72093023,19.27487491
11.86046512,18.90426798
12,18.54078688
12.10465116,18.1842946
12.20930233,17.49174157
12.34883721,17.49174157
12.48837209,16.82556458
12.62790698,16.50205167
12.76744186,15.87356725
12.94186047,15.56835883
13.08139535,14.97543432
13.29069767,14.40509147
13.46511628,14.12811811
13.60465116,13.85647026
13.77906977,13.5900455
13.91860465,13.32874341
14.05813953,13.0724655
14.23255814,12.57459765
14.40697674,12.33282005
14.54651163,11.86312177
14.68604651,11.41131205
14.8255814,10.76565535
14.96511628,10.15653016
15.03488372,9.769716381
15.13953488,9.397634492
15.24418605,9.039723428
15.38372093,8.695443488
15.55813953,8.364275529
15.73255814,8.203451736
15.90697674,7.891021395
16.08139535,7.739297079
16.29069767,7.739297079
16.46511628,7.444544175
16.63953488,7.444544175
16.74418605,7.444544175
16.88372093,7.301404482
17.02325581,7.161017003
17.19767442,6.888288028
17.37209302,6.755843729
17.54651163,6.498545872
17.75581395,6.498545872
17.93023256,6.373595326
18.03488372,6.373595326
18.13953488,6.251047262
18.24418605,6.251047262
18.38372093,6.251047262
18.48837209,6.130855486
18.59302326,6.012974693
18.73255814,5.897360449
18.87209302,6.012974693
19.01162791,5.897360449
19.18604651,5.783969173
19.3255814,5.672758124
19.43023256,5.563685381
19.56976744,5.248889785
19.6744186,4.951905452
19.81395349,4.671724615
19.95348837,4.493800911
20.05813953,4.407396524
20.1627907,4.158024224
20.26744186,3.922761512
20.37209302,3.70081006
20.47674419,3.424285628
20.58139535,3.168423096
20.72093023,2.931678604
20.86046512,2.765803029
20.96511628,2.609312761
21.10465116,2.41434498
21.20930233,2.461676777
21.27906977,2.367923253
21.27906977,2.233945186
21.31395349,2.06702486
21.34883721,1.912576816
21.38372093,1.769669126
21.48837209,1.669540523
21.59302326,1.575077236
21.69767442,1.515090059
21.8372093,1.401882569
21.97674419,1.29713394
22.11627907,1.223741571
22.29069767,1.132303632
22.43023256,1.047697934
22.60465116,0.969413972
22.77906977,0.896979385
22.91860465,0.846227925
23.02325581,0.798348002
23.09302326,0.767942735
