# Rad,omega,Vobs,error_v,error_omega
0.19,805.2631579,153,8,42.11
0.56,232.1428571,130,9,16.07
0.94,136.1702128,128,3,3.19
1.22,109.8360656,134,3,2.46
1.59,81.13207547,129,4,2.52
1.96,66.83673469,131,7,3.57
2.34,58.97435897,138,8,3.42
2.71,51.29151292,139,5,1.85
2.99,47.82608696,143,3,1.00
3.37,43.32344214,146,2,0.59
3.74,41.17647059,154,2,0.53
4.12,39.0776699,161,1,0.24
4.4,37.95454545,167,2,0.45
4.77,36.26834382,173,2,0.42
5.15,34.17475728,176,4,0.78
5.52,32.24637681,178,5,0.91
5.89,30.56027165,180,3,0.51
6.17,29.01134522,179,4,0.65
6.55,27.48091603,180,5,0.76
6.92,26.15606936,181,4,0.58
7.3,24.52054795,179,4,0.55
7.58,23.61477573,179,2,0.26
7.95,22.51572327,179,1,0.13
8.33,21.36854742,178,1,0.12
8.7,20.34482759,177,2,0.23
9.08,19.38325991,176,2,0.22
9.36,18.48290598,173,3,0.32
9.73,17.67728674,172,2,0.21
10.1,17.02970297,172,2,0.20
10.48,16.22137405,170,2,0.19
10.76,15.89219331,171,2,0.19
11.13,15.63342318,174,2,0.18
11.51,15.11728931,174,2,0.17
11.88,14.73063973,175,2,0.17
12.26,14.19249592,174,2,0.16
12.54,13.79585327,173,6,0.48
12.91,13.40046476,173,6,0.46
13.29,13.01730625,173,8,0.60
13.66,12.81112738,175,9,0.66
14.03,12.40199572,174,9,0.64
14.31,11.94968553,171,9,0.63
14.69,11.36827774,167,8,0.54
15.06,10.9561753,165,7,0.46
15.44,10.55699482,163,8,0.52
15.72,10.30534351,162,8,0.51
16.09,10.00621504,161,9,0.56
16.47,9.653916211,159,10,0.61
16.84,9.382422803,158,10,0.59
17.21,9.122603138,157,10,0.58
17.5,8.971428571,157,10,0.57
17.87,8.785674314,157,9,0.50
18.24,8.771929825,160,11,0.60
18.62,8.539205156,159,12,0.64
18.9,8.465608466,160,14,0.74
19.27,8.199273482,158,16,0.83
19.65,7.888040712,155,18,0.92
20.02,7.842157842,157,19,0.95
20.4,7.549019608,154,21,1.03
