r,vel disp
0.922818792,12.47798742
1.258389262,11.87421384
1.677852349,11.97484277
2.055369128,10.70020964
2.432885906,10.26415094
2.768456376,10.49895178
3.187919463,11.03563941
3.523489933,10.86792453
3.94295302,11.10272537
4.320469799,11.16981132
4.697986577,10.93501048
5.033557047,10.49895178
5.453020134,10.23060797
5.830536913,9.761006289
6.208053691,9.626834382
6.543624161,9.492662474
6.963087248,9.224318658
7.340604027,9.056603774
7.718120805,9.593291405
8.095637584,8.821802935
8.473154362,8.150943396
8.89261745,8.117400419
9.228187919,7.647798742
9.605704698,6.742138365
10.02516779,6.507337526
10.40268456,6.339622642
10.73825503,6.205450734
11.15771812,6.373165618
11.5352349,6.272536688
11.91275168,5.970649895
12.29026846,5.870020964
12.66778523,5.568134172
13.04530201,5.333333333
13.42281879,5.433962264
13.80033557,5.70230608
14.17785235,5.601677149
14.55536913,5.36687631
14.93288591,5.031446541
15.31040268,5.132075472
15.68791946,4.863731656
16.06543624,4.729559748
16.44295302,4.763102725
16.86241611,4.863731656
17.23993289,4.763102725
17.61744966,4.49475891
17.95302013,4.360587002
18.33053691,4.327044025
18.75,4.293501048
19.12751678,4.259958071
19.46308725,4.427672956
19.88255034,3.857442348
20.26006711,3.589098532
20.63758389,3.589098532
20.97315436,3.689727463
21.39261745,3.756813417
21.77013423,3.253668763
22.14765101,3.320754717
