r arcmin,sigma_HI
1.67,2.77
3.33,3.19
5.0,4.21
6.67,3.94
8.33,4.49
10.0,2.14
11.67,1.52
13.33,1.51
15.0,1.57
16.67,2.21
18.33,3.0
20.0,3.54
21.67,2.75
23.33,2.31
25.0,2.09
26.67,1.86
28.33,1.41
30.0,1.43
31.67,1.6
33.33,2.07
35.0,2.84
36.67,3.85
38.33,4.61
40.0,4.39
41.67,3.78
43.33,3.34
45.0,3.16
46.67,3.37
48.33,4.34
50.0,5.02
51.67,4.95
53.33,4.45
55.0,4.03
56.67,3.98
58.33,3.91
60.0,3.67
61.67,3.39
63.33,3.37
65.0,3.01
66.67,2.61
68.33,2.39
70.0,2.0
71.67,1.92
73.33,1.79
75.0,2.21
76.67,1.91
78.33,1.74
80.0,1.6
81.67,1.44
83.33,1.35
85.0,1.24
86.67,1.15
88.33,1.18
90.0,1.1
91.67,1.08
93.33,0.83
95.0,0.75
96.67,0.76
98.33,0.88
100.0,0.82
101.67,0.75
103.33,0.67
105.0,0.58
106.67,0.49
108.33,0.43
110.0,0.42
111.67,0.45
113.33,0.46
115.0,0.42
116.67,0.39
118.33,0.38
120.0,0.29
121.67,0.23
123.33,0.2
125.0,0.21
126.67,0.17
128.33,0.1
130.0,0.08
131.67,0.07
133.33,0.07
135.0,0.1
136.67,0.08
138.33,0.07
140.0,0.06
141.67,0.06
143.33,0.06
145.0,0.02
146.67,0.01
148.33,0.01
150.0,0.01
151.67,0.02
153.33,0.03
155.0,0.02
156.67,0.02
158.33,0.02
160.0,0.02
161.67,0.03
163.33,0.03
165.0,0.03
166.67,0.02
