r kpc,sigma_tot
0.0,7652.0
0.48,4847.0
0.96,3022.0
1.44,1854.0
1.92,1275.0
2.4,952.9
2.88,751.9
3.36,622.4
3.84,523.2
4.32,438.3
4.8,360.4
5.28,305.9
5.76,276.1
6.24,259.7
6.72,243.7
7.2,223.8
7.68,201.8
8.16,183.1
8.64,174.1
9.12,166.8
9.6,158.9
10.08,158.9
10.56,153.0
11.04,144.4
11.52,134.0
12.0,123.0
12.48,113.8
12.96,105.9
13.44,99.15
13.92,93.26
14.4,88.44
14.88,83.97
15.36,78.13
15.84,70.83
16.32,63.49
16.8,56.94
17.28,51.97
17.76,47.87
18.24,43.86
18.72,39.59
19.2,36.29
19.68,33.49
20.16,30.85
20.64,28.15
21.12,25.99
21.6,24.2
22.08,22.52
22.56,20.42
23.04,18.49
23.52,16.91
24.0,15.58
24.48,14.3
24.96,13.11
25.44,12.05
25.92,11.41
26.4,10.4
26.88,9.532
27.36,9.259
27.84,8.529
28.32,7.806
28.8,7.141
29.28,6.533
29.76,5.976
30.24,5.466
30.72,4.998
31.2,4.568
31.68,4.18
32.16,3.826
32.64,3.5
33.12,3.201
33.6,2.925
34.08,2.677
34.56,2.45
35.04,2.241
35.52,2.048
36.0,1.874
36.48,1.715
36.96,1.568
37.44,1.433
37.92,1.313
38.4,1.201
38.88,1.096
39.36,1.004
39.84,0.9188
40.32,0.8388
40.8,0.7689
41.28,0.703
41.76,0.6424
42.24,0.5885
42.72,0.5375
43.2,0.4922
43.68,0.4503
44.16,0.4112
44.64,0.1963
45.12,0.0
45.6,0.0
