r arcmin,vcirc kms,error kms
1.67,0.0,0.0
3.33,0.0,0.0
5.0,336.2,171.7
6.67,324.6,125.1
8.33,339.0,52.8
10.0,243.6,25.8
11.67,235.2,17.0
13.33,238.9,5.7
15.0,239.3,18.3
16.67,226.3,16.1
18.33,202.6,4.7
20.0,207.3,10.7
21.67,202.5,21.7
23.33,208.9,15.6
25.0,221.6,13.4
26.67,232.2,13.7
28.33,237.6,8.3
30.0,239.8,2.2
31.67,235.6,6.1
33.33,241.7,3.3
35.0,244.3,6.4
36.67,248.8,6.4
38.33,251.8,5.5
40.0,253.0,9.2
41.67,258.8,9.6
43.33,259.0,9.5
45.0,262.2,10.8
46.67,266.8,13.0
48.33,266.8,11.7
50.0,265.9,9.9
51.67,264.4,7.2
53.33,264.7,5.3
55.0,265.3,5.4
56.67,265.2,3.9
58.33,262.0,2.4
60.0,260.8,4.5
61.67,259.2,5.4
63.33,258.1,6.8
65.0,258.4,6.1
66.67,259.2,4.6
68.33,262.7,4.2
70.0,266.1,4.0
71.67,270.0,2.3
73.33,269.8,1.0
75.0,269.1,3.9
76.67,268.5,7.1
78.33,263.0,15.0
80.0,257.1,13.5
81.67,254.1,10.6
83.33,251.9,11.1
85.0,249.5,8.1
86.67,245.7,7.4
88.33,243.7,6.6
90.0,245.9,7.5
91.67,242.3,6.1
93.33,239.2,6.3
95.0,239.5,4.7
96.67,236.1,1.8
98.33,233.8,1.7
100.0,233.1,3.3
101.67,230.1,5.5
103.33,232.1,5.0
105.0,228.7,1.7
106.67,229.1,1.8
108.33,227.9,5.0
110.0,226.9,2.0
111.67,225.1,1.6
113.33,225.4,1.8
115.0,230.3,2.0
116.67,229.0,2.3
118.33,229.9,4.8
120.0,230.1,6.6
121.67,229.8,3.0
123.33,230.4,5.2
125.0,230.9,2.9
126.67,229.8,2.1
128.33,228.8,1.8
130.0,238.3,3.3
131.67,243.6,1.4
133.33,247.3,3.1
135.0,247.8,1.3
136.67,248.4,2.0
138.33,248.1,1.5
140.0,244.5,1.6
141.67,244.4,3.0
143.33,241.7,4.3
145.0,237.7,1.9
146.67,237.6,6.1
148.33,244.9,3.6
150.0,247.9,3.2
151.67,256.3,3.1
153.33,253.5,4.1
155.0,244.3,4.7
156.67,249.3,5.8
158.33,255.7,4.5
160.0,255.0,5.8
161.67,271.1,7.8
163.33,269.8,4.7
165.0,258.2,10.7
166.67,275.1,4.8
