r kpc,vcirc kms
0.0,0.0
0.48,150.97
0.96,221.65
1.44,247.13
1.92,252.51
2.4,253.89
2.88,252.25
3.36,251.54
3.84,251.64
4.32,252.07
4.8,250.78
5.28,246.0
5.76,240.36
6.24,236.65
6.72,235.64
7.2,235.92
7.68,235.76
8.16,233.72
8.64,230.73
9.12,229.63
9.6,228.34
10.08,228.24
10.56,230.8
11.04,233.99
11.52,236.79
12.0,238.75
12.48,239.8
12.96,240.51
13.44,241.17
13.92,241.85
14.4,242.65
14.88,244.03
15.36,245.74
15.84,247.2
16.32,247.87
16.8,247.59
17.28,246.79
17.76,245.9
18.24,245.12
18.72,244.22
19.2,243.14
19.68,242.09
20.16,241.13
20.64,240.15
21.12,239.12
21.6,238.18
22.08,237.41
22.56,236.67
23.04,235.8
23.52,234.78
24.0,233.72
24.48,232.66
24.96,231.61
25.44,230.55
25.92,229.56
26.4,228.63
26.88,227.7
27.36,226.84
27.84,226.1
28.32,225.41
28.8,224.72
29.28,224.02
29.76,223.31
30.24,222.62
30.72,221.94
31.2,221.28
31.68,220.64
32.16,220.02
32.64,219.42
33.12,218.84
33.6,218.28
34.08,217.74
34.56,217.22
35.04,216.72
35.52,216.24
36.0,215.79
36.48,215.36
36.96,214.95
37.44,214.55
37.92,214.19
38.4,213.84
38.88,213.51
39.36,213.22
39.84,212.93
40.32,212.67
40.8,212.43
41.28,212.2
41.76,212.0
42.24,211.82
42.72,211.66
43.2,211.53
43.68,211.42
44.16,211.32
44.64,211.19
45.12,211.05
45.6,210.85
