r arcsec,vdisp kms no_warp,vdisp kms warp
100.0,17.1,12.05
200.0,8.58,15.64
300.0,12.94,15.7
400.0,17.12,10.75
500.0,12.99,8.71
600.0,10.03,5.82
700.0,13.13,6.08
800.0,15.38,8.23
900.0,16.6,9.48
1000.0,14.95,11.61
1100.0,15.63,13.61
1200.0,14.5,12.37
1300.0,12.63,7.77
1400.0,12.25,6.22
1500.0,12.57,5.98
1600.0,12.51,5.38
1700.0,13.53,5.47
1800.0,13.79,6.62
1900.0,13.93,8.16
2000.0,13.21,8.31
2100.0,11.56,8.67
2200.0,10.87,9.3
2300.0,10.81,9.67
2400.0,11.06,8.51
2500.0,11.77,7.51
2600.0,11.12,6.32
2700.0,12.21,6.13
2800.0,12.12,6.52
2900.0,12.12,9.29
3000.0,11.7,10.66
3100.0,11.41,11.48
3200.0,11.7,10.77
3300.0,12.54,10.61
3400.0,12.15,11.23
3500.0,11.65,12.05
3600.0,11.18,11.8
3700.0,11.21,11.42
3800.0,11.36,10.91
3900.0,11.72,8.56
4000.0,10.62,6.32
4100.0,10.23,5.45
4200.0,10.47,4.81
4300.0,10.62,5.43
4400.0,10.65,6.68
4500.0,9.76,10.43
4600.0,10.82,10.71
4700.0,11.45,10.95
4800.0,10.92,10.25
4900.0,10.91,9.16
5000.0,10.46,8.87
5100.0,10.01,9.05
5200.0,10.04,8.72
5300.0,9.86,8.98
5400.0,9.94,8.49
5500.0,10.17,9.61
5600.0,9.86,6.84
5700.0,9.55,6.16
5800.0,9.72,6.88
5900.0,9.79,9.87
6000.0,10.15,9.87
6100.0,9.82,9.85
6200.0,9.76,8.62
6300.0,9.86,7.97
6400.0,9.37,7.54
6500.0,9.73,7.19
6600.0,9.58,7.99
6700.0,9.66,8.3
6800.0,10.21,8.56
6900.0,10.21,7.14
7000.0,9.2,7.23
7100.0,8.95,7.85
7200.0,9.59,7.05
7300.0,10.2,7.49
7400.0,8.94,6.64
7500.0,9.01,8.34
7600.0,9.12,7.07
7700.0,9.29,5.53
7800.0,9.46,5.61
7900.0,9.8,4.06
8000.0,8.34,4.75
8100.0,9.01,8.15
8200.0,8.46,7.09
8300.0,8.98,5.89
8400.0,7.7,6.24
8500.0,7.99,5.59
8600.0,7.04,5.59
8700.0,6.43,4.49
8800.0,5.8,3.81
8900.0,8.92,2.61
9000.0,8.76,3.57
9100.0,6.95,4.67
9200.0,6.81,5.37
9300.0,6.6,6.67
9400.0,9.3,4.19
9500.0,13.69,5.09
9600.0,11.38,4.45
9700.0,6.81,4.4
9800.0,4.58,4.53
9900.0,9.05,5.62
10000.0,10.89,5.2
