r kpc,kms_vcirc_Kam,error_Kam
0.488692191,42,2.4
0.977384381,58.8,1.5
1.466076572,69.4,0.4
1.954768762,79.3,4
2.443460953,86.7,1.8
2.932153143,91.4,3.1
3.420845334,94.2,4.8
3.909537524,96.5,5.5
4.398229715,99.8,3.9
4.886921906,102.1,1.7
5.375614096,103.6,0.4
5.864306287,105.9,0.7
6.352998477,105.7,1.7
6.841690668,106.8,2.2
7.330382858,107.3,3
7.819075049,108.3,4
8.307767239,109.7,4
8.79645943,112,4.8
9.285151621,116.1,2.2
9.773843811,117.2,2.5
10.262536,116.5,6.5
10.75122819,115.7,8.1
11.23992038,117.4,8.2
11.72861257,116.8,8.9
12.21730476,115.7,9.6
12.70599695,115.1,7.7
13.19468915,117.1,5.1
13.68338134,118.2,3.2
14.17207353,118.4,1.4
14.66076572,118.2,1.8
15.14945791,117.5,2.4
15.6381501,119.6,0.8
16.12684229,118.6,1.5
16.61553448,122.6,0.5
17.10422667,124.1,2.9
17.59291886,125,2.2
18.08161105,125.5,2.5
18.57030324,125.2,8.1
19.05899543,122,9.8
19.54768762,120.4,8.5
20.03637981,114,26.6
20.525072,110,34.6
21.01376419,98.7,27.4
21.50245638,100.1,33.4
21.99114858,104.3,35.2
22.47984077,101.2,27.4
22.96853296,123.5,39.1
23.45722515,115.3,26.7
