arcsec_r_Koch,kms_vcirc_Koch,kms_vcirc_error_Koch
9,1.58,6.24
27,11.88,5.26
45,22.71,5.25
63,30.53,5.12
81,29.95,4.47
99,34.2,4.03
117,36.76,3.99
135,44.61,3.79
153,47.8,3.49
171,51.67,3.08
189,52.73,2.96
207,53.24,3.06
225,55.3,3.22
243,57.58,3.3
261,58.7,3.42
279,59.47,3.5
297,60.3,3.59
315,64.32,3.78
333,67.66,3.75
351,69.07,4.03
369,72.05,4.49
387,75.89,4.82
405,74.09,4.91
423,73.44,3.29
441,77.06,2.76
459,77.06,2.8
477,77.82,2.6
495,79.01,2.48
513,80.96,2.59
531,80.34,2.5
549,80.35,2.65
567,82.9,2.66
585,86.23,2.66
603,86.92,2.59
621,86.13,2.63
639,87.43,2.57
657,87.89,2.63
675,87.82,2.35
693,91.08,2.44
711,90.37,2.25
729,88.22,2.09
747,90.67,2.36
765,92.32,2.48
783,93.31,2.26
801,94.15,2.15
819,93.4,2.37
837,94.02,2.44
855,94.91,2.5
