r kpc,sigma HI
0.48869219055841223,7.89
0.9773843811168245,7.73
1.4660765716752369,8.26
1.954768762233649,8.52
2.443460952792061,8.23
2.9321531433504737,7.66
3.4208453339088862,8.0
3.909537524467298,8.61
4.39822971502571,8.14
4.886921905584122,8.19
5.3756140961425345,7.61
5.8643062867009474,7.57
6.3529984772593595,7.54
6.8416906678177725,6.5
7.3303828583761845,4.99
7.819075048934596,3.5
8.307767239493009,2.51
8.79645943005142,1.75
9.285151620609833,1.34
9.773843811168245,1.0
10.262536001726657,0.75
10.751228192285069,0.67
11.239920382843483,0.56
11.728612573401895,0.63
12.217304763960307,0.49
12.705996954518719,0.36
13.194689145077133,0.23
13.683381335635545,0.18
14.172073526193957,0.12
14.660765716752369,0.08
15.149457907310783,0.04
15.638150097869191,0.03
16.126842288427607,0.03
16.615534478986017,0.0
17.10422666954443,0.03
17.59291886010284,0.07
18.081611050661255,0.03
18.570303241219666,0.04
19.05899543177808,0.04
19.54768762233649,0.04
20.036379812894904,0.08
20.525072003453314,0.09
21.013764194011728,-1.0
21.502456384570138,-1.0
21.991148575128552,0.09
22.479840765686966,-1.0
22.968532956245376,-1.0
23.45722514680379,-1.0
