r,vel disp
0.194444444,28.1167002
0.25,27.29577465
0.277777778,26.74849095
0.277777778,26.26961771
0.305555556,25.92756539
0.333333333,25.38028169
0.361111111,24.90140845
0.361111111,24.49094567
0.388888889,24.0804829
0.416666667,23.5331992
0.416666667,23.05432596
0.444444444,22.64386318
0.472222222,22.2334004
0.472222222,21.82293763
0.527777778,21.07042254
0.555555556,20.45472837
0.583333333,19.77062374
0.611111111,19.15492958
0.694444444,18.60764588
0.805555556,18.1971831
0.916666667,17.78672032
1,17.44466801
1.083333333,17.17102616
1.222222222,16.69215292
1.388888889,16.21327968
1.555555556,15.59758551
1.666666667,15.05030181
1.777777778,14.50301811
1.833333333,14.22937626
2.083333333,13.81891348
2.25,13.47686117
2.444444444,13.4084507
2.666666667,13.34004024
2.861111111,12.79275654
3.055555556,12.17706237
3.277777778,11.35613682
3.472222222,10.60362173
3.611111111,10.12474849
3.75,9.714285714
3.888888889,9.303822938
4.111111111,9.167002012
4.305555556,9.030181087
4.555555556,9.030181087
4.722222222,9.098591549
4.888888889,9.098591549
5.027777778,9.098591549
5.138888889,9.030181087
5.277777778,8.756539235
5.444444444,8.346076459
5.694444444,7.935613682
5.972222222,7.525150905
6.083333333,7.046277666
6.222222222,6.567404427
6.361111111,6.088531187
6.583333333,5.814889336
6.777777778,5.472837022
6.972222222,5.472837022
7.222222222,5.541247485
7.416666667,5.336016097
7.611111111,5.199195171
7.777777778,5.404426559
7.916666667,5.541247485
8.055555556,5.746478873
8.194444444,6.020120724
8.333333333,6.293762575
8.416666667,6.430583501
8.527777778,6.088531187
8.638888889,5.746478873
8.75,5.404426559
8.833333333,5.199195171
9,5.130784708
9.25,5.062374245
9.416666667,5.404426559
9.583333333,5.814889336
9.75,6.15694165
9.916666667,6.704225352
10.08333333,7.183098592
10.25,7.38832998
10.47222222,7.593561368
10.61111111,7.525150905
10.77777778,7.456740443
10.88888889,7.38832998
11.02777778,7.114688129
11.19444444,6.841046278
11.30555556,6.704225352
11.44444444,6.704225352
11.55555556,6.635814889
11.66666667,6.635814889
11.75,6.362173038
11.77777778,6.020120724
11.83333333,5.67806841
11.86111111,5.472837022
11.88888889,5.130784708
11.94444444,4.720321932
12,4.378269618
12.02777778,4.036217304
12.08333333,3.69416499
12.11111111,3.488933602
12.13888889,3.283702213
