r/r25,r,sigma_H2
0.0248307,0.230081266,214.0009764
0.076749436,0.711160274,207.6283497
0.126410835,1.171322797,103.5898697
0.180586907,1.67331828,56.58941831
0.230248307,2.133480813,67.84375026
0.284424379,2.635476296,47.20202306
0.334085779,3.095638828,25.01781939
0.386004515,3.576717836,22.16833326
0.437923251,4.057796844,20.24630304
0.489841986,4.538875842,19.05844782
0.541760722,5.01995485,19.05844782
0.593679458,5.501033858,16.88772374
0.643340858,5.96119639,11.39968311
0.69751693,6.463191873,7.695103084
