r,vel disp
0.185726497,19.445629
0.271080094,18.67803838
0.356189474,17.56929638
0.498384415,16.20469083
0.554737327,14.92537313
0.782652189,13.30490405
1.039445629,12.02558635
1.32487343,10.74626866
1.66781417,9.808102345
1.982608982,9.552238806
2.240318233,9.552238806
2.440453491,9.125799574
2.640649803,8.784648188
3.04153086,8.784648188
3.299423274,9.040511727
3.585950048,9.296375267
3.815147046,9.466950959
4.072856297,9.466950959
4.330565549,9.466950959
4.530883969,9.296375267
4.73120239,9.125799574
4.931398702,8.784648188
5.0744484,8.614072495
5.274827874,8.528784648
5.561171487,8.528784648
5.790246377,8.528784648
5.990686905,8.528784648
6.219761795,8.528784648
6.448897739,8.614072495
6.706668044,8.699360341
6.935803988,8.784648188
7.193574293,8.869936034
7.537247682,8.955223881
7.795079042,9.125799574
8.024214985,9.21108742
8.281985291,9.296375267
8.453791458,9.296375267
8.654109879,9.125799574
8.825793938,8.955223881
8.997539051,8.869936034
9.197918526,8.784648188
9.369541531,8.528784648
9.598555367,8.443496802
9.827569202,8.358208955
10.02800973,8.358208955
10.25696251,8.187633262
10.45728093,8.017057569
10.65772146,8.017057569
10.85810094,7.931769723
11.08711477,7.846481876
11.34476297,7.76119403
11.60235011,7.590618337
11.80254642,7.249466951
12.03131604,6.823027719
