r/r25,r,sigma_sfr_from_plot,sigma_sfr
0.0248307,0.230081266,128.003253,0.128003253
0.076749436,0.711160274,100.5051194,0.100505119
0.128668172,1.192239282,39.37186575,0.039371866
0.180586907,1.67331828,15.42353088,0.015423531
0.232505643,2.154397288,23.55001821,0.023550018
0.284424379,2.635476296,25.78567804,0.025785678
0.334085779,3.095638828,12.11019077,0.012110191
0.386004515,3.576717836,14.5186288,0.014518629
0.437923251,4.057796844,12.48188243,0.012481882
0.489841986,4.538875842,12.48188243,0.012481882
0.541760722,5.01995485,10.7308611,0.010730861
0.593679458,5.501033858,11.06021772,0.011060218
0.645598194,5.982112866,6.615595267,0.006615595
0.695259594,6.442275398,3.839238363,0.003839238
0.74717833,6.923354406,3.401955788,0.003401956
0.799097065,7.404433404,2.366897392,0.002366897
0.851015801,7.885512412,3.10700074,0.003107001
0.902934537,8.36659142,1.915471573,0.001915472
0.954853273,8.847670428,2.097311894,0.002097312
