r/r25,r,sigma_HI, 
0.0248307,0.230081266,3.839238363,
0.076749436,0.711160274,5.518160279,
0.128668172,1.192239282,4.332728621,
0.180586907,1.67331828,4.078526442,
0.232505643,2.154397288,6.042012498,
0.284424379,2.635476296,6.042012498,
0.334085779,3.095638828,5.687526243,
0.386004515,3.576717836,6.615595267,
0.437923251,4.057796844,7.931284798,
0.489841986,4.538875842,7.695103084,
0.541760722,5.01995485,7.243629626,
0.593679458,5.501033858,6.615595267,
0.645598194,5.982112866,5.687526243,
0.695259594,6.442275398,5.194408554,
0.74717833,6.923354406,5.039726892,
0.799097065,7.404433404,4.744044963,
0.851015801,7.885512412,5.039726892,
0.902934537,8.36659142,4.889651416,
0.954853273,8.847670428,4.889651416,
