r/r25,r,sigma_gas
0.0248307,0.230081266,227.339008
0.079006772,0.732076749,214.0009764
0.128668172,1.192239282,110.0463119
0.180586907,1.67331828,61.9615878
0.232505643,2.154397288,74.28432055
0.284424379,2.635476296,53.2693042
0.334085779,3.095638828,29.99328747
0.386004515,3.576717836,27.39282112
0.440180587,4.078713319,27.39282112
0.489841986,4.538875842,24.27282642
0.541760722,5.01995485,22.16833326
0.593679458,5.501033858,19.64339864
0.645598194,5.982112866,14.96424137
0.69751693,6.463191873,11.06021772
0.74717833,6.923354406,8.684220727
0.799097065,7.404433404,7.243629626
0.851015801,7.885512412,8.425617715
0.902934537,8.36659142,8.684220727
0.954853273,8.847670428,9.80047815
