r/r25,r,sigma_sfr_from_plot,sigma_sfr_fuv
0.0248307,0.230081266,116.9051647,0.116905165
0.076749436,0.711160274,100.5051194,0.100505119
0.128668172,1.192239282,39.37186575,0.039371866
0.180586907,1.67331828,16.88772374,0.016887724
0.232505643,2.154397288,23.55001821,0.023550018
0.284424379,2.635476296,25.78567804,0.025785678
0.336343115,3.116555304,14.5186288,0.014518629
0.388261851,3.597634311,15.89691713,0.015896917
0.437923251,4.057796844,13.25984029,0.01325984
0.489841986,4.538875842,12.86498222,0.012864982
0.541760722,5.01995485,10.41131222,0.010411312
0.593679458,5.501033858,8.950760904,0.008950761
0.645598194,5.982112866,5.353837778,0.005353838
0.69751693,6.463191873,3.839238363,0.003839238
0.74717833,6.923354406,3.014478938,0.003014479
0.799097065,7.404433404,2.296414753,0.002296415
0.851015801,7.885512412,2.296414753,0.002296415
0.902934537,8.36659142,1.749397101,0.001749397
0.954853273,8.847670428,1.697302691,0.001697303
