r,sigma_HI
0.364148816,3.205917786
1.14994363,4.047089951
1.916572717,4.454608319
2.683201804,4.454608319
3.468996618,4.836417785
4.254791432,5.859453915
5.021420519,6.189658189
5.807215333,5.471359333
6.573844419,4.516082892
7.359639233,4.454608319
8.12626832,5.250952567
8.912063134,6.720180721
9.678692221,8.254041853
10.48365276,9.337660833
11.23111612,9.210553177
12.03607666,8.141684814
12.80270575,6.906940492
13.58850056,6.189658189
14.33596392,5.779692884
15.12175874,5.623413252
15.90755355,5.779692884
16.69334837,5.623413252
17.44081172,5.779692884
