r,sigma_sfr_10^-3,sigma_sfr
0.402480271,116.2722805,0.116272281
0.919954904,110.0694171,0.110069417
1.379932356,95.97162694,0.095971627
1.839909808,80.30857221,0.080308572
2.223224352,63.61674269,0.063616743
2.606538895,49.70826116,0.049708261
2.989853439,39.91999481,0.039919995
3.373167982,30.34889319,0.030348893
3.890642616,29.52827625,0.029528276
4.388951522,29.93577295,0.029935773
4.925591883,30.34889319,0.030348893
5.385569335,27.57250286,0.027572503
5.82638106,23.072531,0.023072531
6.209695603,18.52922022,0.01852922
6.669673055,14.67799268,0.014677993
7.129650507,12.45197085,0.012451971
7.589627959,11.31283437,0.011312834
8.107102593,11.15883993,0.01115884
8.586245772,12.97463766,0.012974638
9.027057497,15.5051578,0.015505158
9.506200676,17.5407282,0.017540728
10.00450958,19.30697729,0.019306977
10.50281849,19.57341781,0.019573418
11.02029312,18.52922022,0.01852922
11.51860203,16.60497,0.01660497
11.95941375,14.08670837,0.014086708
12.38105975,11.78768635,0.011787686
12.80270575,9.466522603,0.009466523
13.18602029,7.396863749,0.007396864
13.56933484,5.859453915,0.005859454
13.97181511,4.578405828,0.004578406
14.35512965,3.577432339,0.003577432
14.75760992,2.952827625,0.002952828
15.19842165,2.371373706,0.002371374
15.69673055,2.096179992,0.00209618
16.13754228,1.957341781,0.001957342
16.67418264,1.930697729,0.001930698
17.17249154,1.957341781,0.001957342
17.68996618,1.957341781,0.001957342
