        ********************
        ****** MODEL2 ******
        ********************

TITLE= M 31        
OPTICAL FILENAME= m31.mub     
HI FILENAME= m31.hidhe   
OBSERVED VELOCITY FILE= m31.vhi     

RCORE=  48.00   SIGMA= 120.00   XML=   7.80
DIST=    0.76   ABS=     0.33   RATIO= 0.32
ECC=     0.15  HECC=     0.00
ABSOLUTE MAGNITUDE= -20.69      TOTAL DISK MASS=   0.22E+12   TOTAL HI MASS=   0.50E+10


     RADIUS   DISK MASS     DISK S.D.     HALO MASS     HALO V.D.     HALO S.D.     HI MASS       HI S.D.

      0.00    0.0000E+00    0.7652E+04    0.0000E+00    0.1041E-02    0.1008E+03    0.0000E+00    0.1212E-02
      0.48    0.4179E+10    0.4847E+04    0.4814E+06    0.1041E-02    0.1007E+03    0.9796E+05    0.1975E+00
      0.96    0.1249E+11    0.3022E+04    0.3848E+07    0.1041E-02    0.1006E+03    0.7837E+06    0.3949E+00
      1.44    0.2098E+11    0.1854E+04    0.1298E+08    0.1040E-02    0.1006E+03    0.2645E+07    0.5924E+00
      1.92    0.2870E+11    0.1275E+04    0.3075E+08    0.1039E-02    0.1005E+03    0.6268E+07    0.7899E+00
      2.40    0.3588E+11    0.9529E+03    0.6001E+08    0.1037E-02    0.1004E+03    0.1224E+08    0.9873E+00
      2.88    0.4259E+11    0.7519E+03    0.1036E+09    0.1036E-02    0.1003E+03    0.2116E+08    0.1185E+01
      3.36    0.4905E+11    0.6224E+03    0.1643E+09    0.1034E-02    0.1002E+03    0.3360E+08    0.1382E+01
      3.84    0.5528E+11    0.5232E+03    0.2450E+09    0.1031E-02    0.1001E+03    0.5024E+08    0.1596E+01
      4.32    0.6120E+11    0.4383E+03    0.3483E+09    0.1029E-02    0.9997E+02    0.7185E+08    0.1816E+01
      4.80    0.6668E+11    0.3604E+03    0.4769E+09    0.1026E-02    0.9987E+02    0.9920E+08    0.2046E+01
      5.28    0.7173E+11    0.3059E+03    0.6336E+09    0.1023E-02    0.9958E+02    0.1331E+09    0.2282E+01
      5.76    0.7659E+11    0.2761E+03    0.8210E+09    0.1019E-02    0.9930E+02    0.1741E+09    0.2491E+01
      6.24    0.8148E+11    0.2597E+03    0.1042E+10    0.1015E-02    0.9901E+02    0.2221E+09    0.2678E+01
      6.72    0.8646E+11    0.2437E+03    0.1298E+10    0.1011E-02    0.9872E+02    0.2772E+09    0.2797E+01
      7.20    0.9140E+11    0.2238E+03    0.1592E+10    0.1007E-02    0.9843E+02    0.3376E+09    0.2836E+01
      7.68    0.9619E+11    0.2018E+03    0.1927E+10    0.1002E-02    0.9815E+02    0.4037E+09    0.2960E+01
      8.16    0.1008E+12    0.1831E+03    0.2305E+10    0.9976E-03    0.9786E+02    0.4800E+09    0.3228E+01
      8.64    0.1053E+12    0.1741E+03    0.2728E+10    0.9925E-03    0.9757E+02    0.5682E+09    0.3525E+01
      9.12    0.1100E+12    0.1668E+03    0.3198E+10    0.9872E-03    0.9728E+02    0.6712E+09    0.3895E+01
      9.60    0.1146E+12    0.1589E+03    0.3717E+10    0.9817E-03    0.9699E+02    0.7901E+09    0.4232E+01
     10.08    0.1194E+12    0.1589E+03    0.4288E+10    0.9759E-03    0.9655E+02    0.9222E+09    0.4438E+01
     10.56    0.1243E+12    0.1530E+03    0.4912E+10    0.9699E-03    0.9610E+02    0.1067E+10    0.4621E+01
     11.04    0.1292E+12    0.1444E+03    0.5591E+10    0.9636E-03    0.9566E+02    0.1222E+10    0.4700E+01
     11.52    0.1339E+12    0.1340E+03    0.6327E+10    0.9572E-03    0.9521E+02    0.1387E+10    0.4771E+01
     12.00    0.1385E+12    0.1230E+03    0.7122E+10    0.9505E-03    0.9477E+02    0.1561E+10    0.4829E+01
     12.48    0.1428E+12    0.1138E+03    0.7976E+10    0.9437E-03    0.9432E+02    0.1744E+10    0.4886E+01
     12.96    0.1471E+12    0.1059E+03    0.8893E+10    0.9367E-03    0.9388E+02    0.1936E+10    0.4926E+01
     13.44    0.1511E+12    0.9915E+02    0.9872E+10    0.9295E-03    0.9343E+02    0.2137E+10    0.4960E+01
     13.92    0.1551E+12    0.9326E+02    0.1092E+11    0.9221E-03    0.9299E+02    0.2339E+10    0.4721E+01
     14.40    0.1590E+12    0.8844E+02    0.1203E+11    0.9146E-03    0.9254E+02    0.2534E+10    0.4424E+01
     14.88    0.1628E+12    0.8397E+02    0.1320E+11    0.9069E-03    0.9195E+02    0.2717E+10    0.3954E+01
     15.36    0.1665E+12    0.7813E+02    0.1445E+11    0.8991E-03    0.9136E+02    0.2882E+10    0.3421E+01
     15.84    0.1700E+12    0.7083E+02    0.1576E+11    0.8912E-03    0.9077E+02    0.3026E+10    0.2932E+01
     16.32    0.1732E+12    0.6349E+02    0.1714E+11    0.8831E-03    0.9017E+02    0.3152E+10    0.2467E+01
